,feature,importance
15,temperature_rolling_mean_6h,0.1623020917636046
10,pm10,0.14425311791383222
8,so2,0.12381734546548272
5,co,0.11930736450895059
0,temperature,0.10196821594964038
2,wind_speed,0.093723544525337
6,no2,0.08317947503919754
9,pm2_5,0.07921834093143343
7,o3,0.07076165736887086
17,aqi_lag_1h,0.01748596305767965
16,humidity_rolling_mean_6h,0.002172481895984201
1,humidity,0.0018104015799868328
4,clouds,1.3272802733714585e-18
3,pressure,0.0
11,hour,0.0
12,day_of_week,0.0
13,month,0.0
14,is_weekend,0.0
18,aqi_lag_3h,0.0
19,aqi_lag_6h,0.0
